value,description
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
9044,Ultra high rehabilitation-RUGS RUC/ADL index of 16-18
